Student Name,Student Email Id,student mobile number,Date of submission(dd-mm-yyyy format),Assignment Title,Did you made your bed?,Did you waste any food today?,How many hours did you study?,Do you feel to share something with us today?
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,11/11/2024 22:25:36,Self Awareness,No,No,3,
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,11/11/2024 22:28:28,Self Awareness,No,No,2,
ANINDITA. P,anindita.p@gmail.com,9512345688,11/11/2024 23:34:39,Self Awareness,No,No,3,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,12/11/2024 21:34:59,Self Awareness,No,No,3,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,12/11/2024 21:39:02,Self Awareness,Yes,No,1,No I didn't study because I am in hospital 
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,12/11/2024 21:45:15,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,12/11/2024 23:01:50,Self Awareness,Yes,No,4,
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,12/11/2024 23:27:50,Self Awareness,Yes,No,4,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,13/11/2024 00:02:51,Self Awareness,Yes,No,3,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,13/11/2024 21:04:55,Self Awareness,No,No,3,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,13/11/2024 21:36:16,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,13/11/2024 21:46:57,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,13/11/2024 21:48:49,Self Awareness,Yes,No,3,No
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,13/11/2024 22:01:34,Self Awareness,Yes,No,2,No
JUWAN,juwan@gmail.com,9512345678,13/11/2024 22:27:17,Self Awareness,Yes,No,4,
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,13/11/2024 22:36:10,Self Awareness,No,No,2,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,14/11/2024 21:27:14,Self Awareness,No,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,14/11/2024 21:51:12,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,14/11/2024 22:02:37,Self Awareness,Yes,No,3,No
JUWAN,juwan@gmail.com,9512345678,14/11/2024 22:33:58,Self Awareness,No,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,14/11/2024 23:25:11,Self Awareness,Yes,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,15/11/2024 19:42:14,Self Awareness,Yes,No,1,"our exam over 
"
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,15/11/2024 21:17:08,Self Awareness,No,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,15/11/2024 21:36:09,Self Awareness,Yes,Yes,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,15/11/2024 21:56:38,Self Awareness,Yes,No,3,"My two cats are dead
"
JUWAN,juwan@gmail.com,9512345678,15/11/2024 22:28:37,Self Awareness,Yes,No,1,I didn't study at all 
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,15/11/2024 23:28:06,Self Awareness,No,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,15/11/2024 23:42:12,Self Awareness,No,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,16/11/2024 21:36:29,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,16/11/2024 21:48:44,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,16/11/2024 21:59:01,Self Awareness,Yes,Yes,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,16/11/2024 21:59:34,Self Awareness,Yes,No,3,No
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,16/11/2024 22:34:46,Self Awareness,Yes,No,2,"Ente classil ulla chila freinds enne kaliyakkarund ennoad deshyappedarumund  nan endengilum parennal aver parihasikkum
"
JUWAN,juwan@gmail.com,9512345678,16/11/2024 23:21:08,Self Awareness,No,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,16/11/2024 23:36:36,Self Awareness,Yes,No,1,
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,17/11/2024 06:06:34,Self Awareness,Yes,No,2,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,17/11/2024 21:30:53,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,17/11/2024 21:32:45,Self Awareness,No,No,1,
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,17/11/2024 22:28:57,Self Awareness,Yes,No,2,
JUWAN,juwan@gmail.com,9512345678,17/11/2024 22:30:27,Self Awareness,Yes,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,18/11/2024 09:59:39,Self Awareness,Yes,No,2,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,18/11/2024 19:33:56,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,18/11/2024 20:13:20,Self Awareness,No,Yes,1,"todays and friday weare getting the answer paper in malayalam: 35 half  arabic: 38 hindi:31 I happy with this mark but maths:29 englis:27 social:27 half so sad and we want to gett three subject also thanks .We don't have to study because of that i didt study  i tick 1 hour only we submit knaw sorry
"
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,18/11/2024 21:34:05,Self Awareness,Yes,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,18/11/2024 21:37:29,Self Awareness,No,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,18/11/2024 21:39:52,Self Awareness,Yes,Yes,1,
JUWAN,juwan@gmail.com,9512345678,18/11/2024 22:12:03,Self Awareness,No,No,1,
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,18/11/2024 22:56:44,Self Awareness,No,No,4,Inn malayalam exam papper mam tannepol naan vigarichu 30 mark kidum but 26 marka kittiyad😔
ANINDITA. P,anindita.p@gmail.com,9512345688,18/11/2024 23:01:10,Self Awareness,No,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,19/11/2024 07:36:57,Self Awareness,Yes,No,3,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,19/11/2024 21:33:12,Self Awareness,No,Yes,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,19/11/2024 21:36:07,Self Awareness,Yes,No,1,No
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,19/11/2024 22:09:25,Self Awareness,No,Yes,2,Today my father come to my school in study  time.my friends seeing my father first time. They are looking like surprisely
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,19/11/2024 22:13:14,Self Awareness,Yes,No,3,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,19/11/2024 22:17:11,Self Awareness,Yes,No,3,No
JUWAN,juwan@gmail.com,9512345678,19/11/2024 23:36:04,Self Awareness,Yes,No,1,
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,20/11/2024 07:30:18,Self Awareness,Yes,No,1,
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,20/11/2024 07:31:37,Self Awareness,Yes,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,20/11/2024 21:22:59,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,20/11/2024 22:01:25,Self Awareness,No,No,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,20/11/2024 22:25:00,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,20/11/2024 22:35:30,Self Awareness,Yes,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,20/11/2024 22:44:26,Self Awareness,No,No,2,No
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,20/11/2024 23:20:01,Self Awareness,Yes,No,2,
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,21/11/2024 07:30:14,Self Awareness,Yes,No,2,
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,21/11/2024 07:31:09,Self Awareness,Yes,No,3,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,21/11/2024 21:14:36,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,21/11/2024 21:16:30,Self Awareness,No,No,1,No
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,21/11/2024 21:20:22,Self Awareness,Yes,No,3,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,21/11/2024 22:10:29,Self Awareness,Yes,No,1,"today we has sol section with gokul sir and reshmi ma
m. lhear first class and isaid to my friends that they not minded and today they says i like the class . in begining i know but my friend like bored and they c i. d. mosa some and they understud this class was good class i like your class so much  in last emotion thanks for this class. "
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,21/11/2024 22:13:45,Self Awareness,Yes,No,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,21/11/2024 22:16:27,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,21/11/2024 23:12:30,Self Awareness,No,No,1,Today section was great 👍
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,22/11/2024 21:03:47,Self Awareness,No,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,22/11/2024 21:42:03,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,22/11/2024 22:21:26,Self Awareness,Yes,Yes,1,In my class students are bodyshame is doing 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,22/11/2024 22:21:35,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,22/11/2024 22:55:46,Self Awareness,No,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,22/11/2024 23:31:38,Self Awareness,Yes,No,1,No
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,23/11/2024 21:11:05,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,23/11/2024 21:37:55,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,23/11/2024 22:17:19,Self Awareness,Yes,No,1,I have no any friends 😭😭 but I like it school but no friends 
JUWAN,juwan@gmail.com,9512345678,23/11/2024 22:33:32,Self Awareness,No,No,1,Thank you for spending time with us
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,23/11/2024 22:41:05,Self Awareness,Yes,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,24/11/2024 20:11:38,Self Awareness,Yes,No,4,Yes today is the best day for me. It is because I got my friend house with my some friends. I had just think about my past for a few seconds. When I am three years old I have go to my friend's house. After so many years I go to there. I go the because there is a marriage function. Today I met her and talk with her for some minutes. That's all to share with you today .bye ☺️😊
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,24/11/2024 20:16:51,Self Awareness,Yes,No,1,i like the class my megna mam so frindly 
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,24/11/2024 21:19:21,Self Awareness,Yes,No,2,Today lam so happy 
ANINDITA. P,anindita.p@gmail.com,9512345688,24/11/2024 22:03:27,Self Awareness,No,No,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,24/11/2024 22:09:47,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,24/11/2024 22:10:55,Self Awareness,No,Yes,1,No
SONA MARIYAM,sonamariyam@gmail.com,9512345686,24/11/2024 22:43:06,Self Awareness,No,No,3,"Yes , lam very excited to go for my school trip on November 28th. and lam waiting for it !!"
JUWAN,juwan@gmail.com,9512345678,24/11/2024 22:50:31,Self Awareness,Yes,No,3,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,24/11/2024 23:30:01,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,25/11/2024 20:14:19,Self Awareness,Yes,No,1,
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,25/11/2024 21:12:09,Self Awareness,Yes,No,1,So sad
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,25/11/2024 21:28:20,Self Awareness,No,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,25/11/2024 21:33:43,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,25/11/2024 21:57:29,Self Awareness,Yes,No,2,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,25/11/2024 22:23:15,Self Awareness,Yes,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,25/11/2024 23:01:17,Self Awareness,Yes,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,26/11/2024 07:37:15,Self Awareness,Yes,No,3,Yes today is the best day for me. It is because I got my friend house with my some friends. I had just think about my past for a few seconds. When I am three years old I have go to my friend's house. After so many years I go to there. I go the because there is a marriage function. Today I met her and talk with her for some minutes. That's all to share with you today .bye ☺️😊
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,26/11/2024 07:39:01,Self Awareness,Yes,No,3,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,26/11/2024 21:06:17,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,26/11/2024 21:15:55,Self Awareness,No,No,1,Tomorrow is our school trip 
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,26/11/2024 21:21:20,Self Awareness,No,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,26/11/2024 21:25:23,Self Awareness,Yes,Yes,1,
